Class,Rule,Severity,Type,Line,Effort,Message
SelectImpl,java:S116,MINOR,CODE_SMELL,159,2min,"Rename this field ""_subsels"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,174,2min,"Rename this field ""_joinedTables"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,175,2min,"Rename this field ""_exJoinedTables"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,430,6min,"Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,430,5min,"Remove this unused method parameter ""ctx""."
SelectImpl,java:S1596,MINOR,CODE_SMELL,585,2min,"Replace ""Collections.EMPTY_LIST"" by ""Collections.emptyList()""."
SelectImpl,java:S1596,MINOR,CODE_SMELL,690,2min,"Replace ""Collections.EMPTY_SET"" by ""Collections.emptySet()""."
SelectImpl,java:S1192,CRITICAL,CODE_SMELL,1504,18min,"Define a constant instead of duplicating this literal "" AND "" 8 times."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,1568,5min,"Remove this unused method parameter ""pj""."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,1593,5min,"Remove this unused method parameter ""pj""."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,1643,5min,"Remove this unused method parameter ""pj""."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,1753,12min,"Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed."
SelectImpl,java:S1066,MAJOR,CODE_SMELL,1766,5min,"Merge this if statement with the enclosing one."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,2092,6min,"Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,2122,8min,"Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed."
SelectImpl,java:S125,MAJOR,CODE_SMELL,2186,5min,"This block of commented-out lines of code should be removed."
SelectImpl,java:S125,MAJOR,CODE_SMELL,2248,5min,"This block of commented-out lines of code should be removed."
SelectImpl,java:S116,MINOR,CODE_SMELL,2473,2min,"Rename this field ""_sel"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,2478,2min,"Rename this field ""_preJoins"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S1197,MINOR,CODE_SMELL,3261,5min,"Move the array designators [] to the type."
SelectImpl,java:S116,MINOR,CODE_SMELL,3364,2min,"Rename this field ""_ids"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,3365,2min,"Rename this field ""_idents"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,3366,2min,"Rename this field ""_aliases"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,3367,2min,"Rename this field ""_selectAs"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,3463,17min,"Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed."
SelectImpl,java:S1596,MINOR,CODE_SMELL,3465,2min,"Replace ""Collections.EMPTY_LIST"" by ""Collections.emptyList()""."
SelectImpl,java:S116,MINOR,CODE_SMELL,173,2min,"Rename this field ""_tpcMeta"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S3358,MAJOR,CODE_SMELL,1494,5min,"Extract this nested ternary operation into an independent statement."
SelectImpl,java:S116,MINOR,CODE_SMELL,162,2min,"Rename this field ""_hasSub"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,3181,18min,"Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed."
SelectImpl,java:S116,MINOR,CODE_SMELL,169,2min,"Rename this field ""_ctx"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,172,2min,"Rename this field ""_schemaAlias"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,2005,17min,"Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,2239,5min,"Remove this unused method parameter ""table""."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,2811,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S1186,CRITICAL,CODE_SMELL,2826,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,2935,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S1186,CRITICAL,CODE_SMELL,3026,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
SelectImpl,java:S3626,MINOR,CODE_SMELL,3274,1min,"Remove this redundant jump."
SelectImpl,java:S3626,MINOR,CODE_SMELL,3277,1min,"Remove this redundant jump."
SelectImpl,java:S1197,MINOR,CODE_SMELL,3305,5min,"Move the array designators [] to the type."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,3558,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S1186,CRITICAL,CODE_SMELL,3577,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,538,5min,"Remove these unused method parameters ""conn"", ""sql"", ""store"", ""params"", ""cols""."
SelectImpl,java:S116,MINOR,CODE_SMELL,146,2min,"Rename this field ""_full"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,529,5min,"Remove these unused method parameters ""conn"", ""sql"", ""isLRS"", ""store""."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,559,5min,"Remove this unused method parameter ""sql""."
SelectImpl,java:S1905,MINOR,CODE_SMELL,1360,5min,"Remove this unnecessary cast to ""Object""."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,509,5min,"Remove this unused method parameter ""isLRS""."
SelectImpl,java:S116,MINOR,CODE_SMELL,127,2min,"Rename this field ""_selects"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,166,2min,"Rename this field ""_outer"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S2160,MINOR,CODE_SMELL,3361,30min,"Override the ""equals"" method in this class."
SelectImpl,java:S116,MINOR,CODE_SMELL,3368,2min,"Rename this field ""_dict"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,139,2min,"Rename this field ""_expectedResultCount"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,1130,10min,"Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed."
SelectImpl,java:S108,MAJOR,CODE_SMELL,400,5min,"Remove this block of code, fill it in, or add a comment explaining why it is empty."
SelectImpl,java:S108,MAJOR,CODE_SMELL,402,5min,"Remove this block of code, fill it in, or add a comment explaining why it is empty."
SelectImpl,java:S108,MAJOR,CODE_SMELL,404,5min,"Remove this block of code, fill it in, or add a comment explaining why it is empty."
SelectImpl,java:S108,MAJOR,CODE_SMELL,460,5min,"Remove this block of code, fill it in, or add a comment explaining why it is empty."
SelectImpl,java:S108,MAJOR,CODE_SMELL,461,5min,"Remove this block of code, fill it in, or add a comment explaining why it is empty."
SelectImpl,java:S4144,MAJOR,CODE_SMELL,2993,15min,"Update this method so that its implementation is not identical to ""joinRelation"" on line 2984."
SelectImpl,java:S116,MINOR,CODE_SMELL,111,2min,"Rename this field ""_conf"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,112,2min,"Rename this field ""_dict"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,132,2min,"Rename this field ""_flags"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,133,2min,"Rename this field ""_joinSyntax"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,134,2min,"Rename this field ""_startIdx"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,135,2min,"Rename this field ""_endIdx"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,136,2min,"Rename this field ""_nullIds"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,137,2min,"Rename this field ""_orders"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,138,2min,"Rename this field ""_placeholders"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,142,2min,"Rename this field ""_ordering"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,143,2min,"Rename this field ""_where"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,144,2min,"Rename this field ""_grouping"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,145,2min,"Rename this field ""_having"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,150,2min,"Rename this field ""_joins"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,160,2min,"Rename this field ""_parent"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,161,2min,"Rename this field ""_subPath"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,165,2min,"Rename this field ""_from"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S107,MAJOR,CODE_SMELL,1030,20min,"Method has 8 parameters, which is greater than 7 authorized."
SelectImpl,java:S135,MINOR,CODE_SMELL,1162,20min,"Reduce the total number of break and continue statements in this loop to use at most one."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,1186,8min,"Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,1372,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S1168,MAJOR,CODE_SMELL,1387,30min,"Return an empty collection instead of null."
SelectImpl,java:S107,MAJOR,CODE_SMELL,1472,20min,"Method has 8 parameters, which is greater than 7 authorized."
SelectImpl,java:S1172,MAJOR,CODE_SMELL,1618,5min,"Remove this unused method parameter ""pj""."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,1753,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,1780,15min,"Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed."
SelectImpl,java:S1659,MINOR,CODE_SMELL,1811,2min,"Declare ""selSub"" on a separate line."
SelectImpl,java:S1905,MINOR,CODE_SMELL,1813,5min,"Remove this unnecessary cast to ""SelectImpl""."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,2043,12min,"Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed."
SelectImpl,java:S2589,MAJOR,CODE_SMELL,2056,10min,"Remove this expression which always evaluates to ""true"""
SelectImpl,java:S1186,CRITICAL,CODE_SMELL,2351,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,2389,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S2094,MINOR,CODE_SMELL,2405,5min,"Remove this empty class, write its code or make it an ""interface""."
SelectImpl,java:S2094,MINOR,CODE_SMELL,2411,5min,"Remove this empty class, write its code or make it an ""interface""."
SelectImpl,java:S116,MINOR,CODE_SMELL,2429,2min,"Rename this field ""_path"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,2430,2min,"Rename this field ""_key"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,2477,2min,"Rename this field ""_pos"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S1186,CRITICAL,CODE_SMELL,2759,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,2797,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,2879,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S1186,CRITICAL,CODE_SMELL,2921,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,2925,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S4144,MAJOR,CODE_SMELL,2977,15min,"Update this method so that its implementation is not identical to ""join"" on line 2970."
SelectImpl,java:S2157,CRITICAL,CODE_SMELL,3033,30min,"Add a ""clone()"" method to this class."
SelectImpl,java:S116,MINOR,CODE_SMELL,3037,2min,"Rename this field ""_sel"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,3038,2min,"Rename this field ""_joins"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,3039,2min,"Rename this field ""_outer"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,3040,2min,"Rename this field ""_count"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,3134,5min,"Rename this variable to not match a restricted identifier."
SelectImpl,java:S6213,MAJOR,CODE_SMELL,3185,5min,"Rename this variable to not match a restricted identifier."
StringDistance,java:S1118,MAJOR,CODE_SMELL,29,5min,"Add a private constructor to hide the implicit public one."
